ID,Jugador,Equipo,Posicion,Edad,Partidos,Goles,Asistencias,ValorMercado
1,Luis Garcia,Arsenal,Portero,26,18,0,1,24511639
2,Miguel Perez,Arsenal,Delantero,40,37,2,11,92332806
3,Ricardo Perez,Milan,Mediocampista,38,29,10,2,76853310
4,Luis Torres,Manchester City,Mediocampista,22,34,8,15,181882917
5,Juan Silva,Bayern Munich,Delantero,23,12,20,19,73156830
6,Juan Silva,Real Madrid,Portero,36,14,0,2,2348386
7,Juan Garcia,Arsenal,Defensa,32,28,1,7,28658610
8,Javier Flores,Real Madrid,Portero,25,25,0,2,147521185
9,Ricardo Ramirez,Chelsea,Defensa,29,15,4,8,143071111
10,Diego Silva,Arsenal,Delantero,34,27,5,17,116209632
11,Ricardo Flores,Barcelona,Delantero,33,17,36,4,189815590
12,Miguel Ruiz,Barcelona,Mediocampista,23,28,6,19,165171627
13,Diego Flores,Bayern Munich,Delantero,19,6,16,9,116584028
14,Andres Silva,Real Madrid,Mediocampista,19,5,2,21,166317379
15,Juan Hernandez,Real Madrid,Mediocampista,19,38,7,11,144308420
16,Fernando Perez,Manchester City,Delantero,20,9,6,10,188287748
17,Luis Garcia,PSG,Defensa,27,15,7,2,180755968
18,Juan Ruiz,Arsenal,Mediocampista,19,12,12,7,181608611
19,Diego Diaz,Barcelona,Portero,33,38,0,1,91334697
20,Ricardo Flores,Arsenal,Delantero,21,13,0,20,37431384
21,Carlos Garcia,Milan,Defensa,19,35,5,8,172800105
22,Diego Ramirez,Liverpool,Defensa,21,18,7,2,173499060
23,Javier Lopez,Real Madrid,Delantero,36,11,32,5,112210502
24,Javier Perez,Chelsea,Defensa,28,14,6,0,138549741
25,Javier Perez,Liverpool,Portero,28,21,0,0,157507650
26,Andres Hernandez,Barcelona,Mediocampista,27,16,7,6,116536282
27,Eduardo Ruiz,Manchester City,Portero,34,25,0,1,171969554
28,Carlos Ruiz,Manchester City,Delantero,20,28,27,13,84789260
29,Fernando Perez,Manchester City,Mediocampista,35,22,3,7,74826313
30,Juan Diaz,Milan,Defensa,28,18,0,6,35816423
31,Juan Flores,Chelsea,Defensa,39,15,1,0,1421749
32,Diego Lopez,PSG,Delantero,35,28,32,12,2602376
33,Ricardo Perez,Arsenal,Portero,19,21,0,2,11346378
34,Miguel Garcia,PSG,Defensa,20,5,8,5,24467015
35,Javier Ruiz,Real Madrid,Defensa,37,9,2,0,43746681
36,Fernando Perez,Real Madrid,Mediocampista,18,16,0,18,134542089
37,Eduardo Diaz,Juventus,Portero,29,19,0,1,56747441
38,Ricardo Hernandez,Liverpool,Defensa,22,38,4,5,123728965
39,Diego Hernandez,Barcelona,Defensa,27,27,8,8,143856990
40,Miguel Ruiz,Chelsea,Portero,26,29,0,3,101898011
41,Carlos Silva,Bayern Munich,Mediocampista,36,5,1,6,21796275
42,Andres Lopez,Juventus,Defensa,30,11,8,1,7356338
43,Juan Flores,Real Madrid,Delantero,24,26,15,2,18073371
44,Luis Garcia,Liverpool,Mediocampista,40,11,1,14,144896722
45,Javier Hernandez,PSG,Delantero,24,15,17,11,126683925
46,Eduardo Diaz,Milan,Defensa,27,9,6,9,164218061
47,Juan Perez,Milan,Delantero,24,35,31,4,52314197
48,Andres Diaz,Arsenal,Portero,35,29,0,0,16594243
49,Carlos Ruiz,Barcelona,Delantero,30,31,8,12,176981648
50,Andres Lopez,Real Madrid,Portero,32,12,0,2,183477760
51,Miguel Ramirez,Milan,Mediocampista,18,11,11,4,100489666
52,Luis Silva,PSG,Defensa,32,25,6,3,35213068
53,Diego Ramirez,Barcelona,Delantero,29,14,22,15,18094623
54,Fernando Diaz,Liverpool,Mediocampista,27,34,0,24,36448783
55,Andres Hernandez,Chelsea,Defensa,40,10,8,5,30165543
56,Luis Hernandez,Chelsea,Defensa,40,12,7,3,95596119
57,Andres Diaz,Manchester City,Portero,19,28,0,0,28321912
58,Luis Torres,Juventus,Delantero,27,17,37,19,17139265
59,Eduardo Torres,Bayern Munich,Mediocampista,22,23,15,0,24563602
60,Javier Flores,Barcelona,Portero,24,15,0,0,51134284
61,Diego Silva,Chelsea,Mediocampista,23,20,9,17,46477867
62,Ricardo Diaz,Milan,Portero,37,16,0,3,69596963
63,Carlos Torres,Barcelona,Portero,18,17,0,0,11458042
64,Eduardo Torres,Liverpool,Mediocampista,30,12,0,2,82866762
65,Diego Ruiz,Chelsea,Defensa,21,25,4,7,109499290
66,Miguel Garcia,Manchester City,Defensa,28,6,1,0,153871290
67,Fernando Hernandez,Arsenal,Delantero,25,16,33,16,35323622
68,Carlos Silva,Liverpool,Mediocampista,31,12,4,2,41420232
69,Ricardo Diaz,Juventus,Portero,22,9,0,3,195775674
70,Luis Perez,PSG,Delantero,30,20,11,13,183495098
71,Ricardo Perez,Liverpool,Portero,40,21,0,0,13594241
72,Javier Ramirez,PSG,Delantero,30,36,7,9,3885481
73,Javier Torres,Liverpool,Delantero,25,24,7,20,83889442
74,Javier Ramirez,Bayern Munich,Mediocampista,35,30,11,20,164331317
75,Miguel Diaz,Bayern Munich,Mediocampista,36,6,2,11,84021610
76,Ricardo Flores,Arsenal,Portero,20,26,0,3,12138750
77,Fernando Ramirez,Real Madrid,Delantero,24,18,37,17,11097850
78,Miguel Garcia,PSG,Portero,32,19,0,2,112125535
79,Javier Garcia,Real Madrid,Delantero,28,32,36,10,8341283
80,Fernando Hernandez,Liverpool,Mediocampista,38,14,1,0,24739598
81,Fernando Lopez,Milan,Delantero,38,9,14,15,174811385
82,Miguel Torres,Bayern Munich,Defensa,27,23,0,2,25268217
83,Javier Hernandez,Arsenal,Delantero,40,17,20,12,127502254
84,Ricardo Diaz,Bayern Munich,Delantero,18,27,5,20,121647055
85,Eduardo Ruiz,PSG,Portero,29,19,0,2,23695382
86,Juan Torres,Chelsea,Delantero,39,28,1,6,86615094
87,Luis Silva,Manchester City,Defensa,36,9,5,6,11861877
88,Eduardo Flores,Bayern Munich,Delantero,37,12,30,12,194263514
89,Carlos Lopez,Juventus,Portero,30,15,0,2,121616169
90,Ricardo Ruiz,Arsenal,Portero,35,19,0,0,123130092
91,Eduardo Garcia,Liverpool,Delantero,35,27,27,16,160453743
92,Juan Perez,Manchester City,Mediocampista,32,9,10,7,125687654
93,Ricardo Lopez,Chelsea,Defensa,39,38,7,3,50432770
94,Eduardo Flores,Milan,Delantero,32,16,12,17,84351931
95,Ricardo Diaz,Barcelona,Defensa,36,30,2,10,7726867
96,Carlos Hernandez,Bayern Munich,Mediocampista,33,31,1,2,37713625
97,Luis Flores,Barcelona,Delantero,23,19,36,17,55898231
98,Javier Flores,Liverpool,Defensa,26,38,1,0,64734246
99,Javier Hernandez,PSG,Defensa,32,38,8,2,95826371
100,Diego Torres,Bayern Munich,Portero,18,17,0,1,90617741
101,Luis Flores,Juventus,Defensa,30,20,5,10,125568615
102,Andres Torres,Arsenal,Mediocampista,24,30,13,18,154321664
103,Juan Torres,Real Madrid,Defensa,33,29,6,5,19921436
104,Luis Ruiz,Manchester City,Mediocampista,34,36,1,15,15587117
105,Diego Garcia,Real Madrid,Mediocampista,33,12,1,17,40090216
106,Diego Ramirez,Manchester City,Delantero,30,24,29,4,98930392
107,Miguel Perez,Manchester City,Defensa,36,20,6,3,33994680
108,Javier Garcia,Bayern Munich,Mediocampista,37,8,12,14,198078078
109,Diego Flores,Arsenal,Defensa,35,8,5,7,106199550
110,Fernando Garcia,Arsenal,Mediocampista,19,6,1,1,106497727
111,Juan Torres,Real Madrid,Portero,26,30,0,3,126421258
112,Carlos Ramirez,Bayern Munich,Mediocampista,38,5,15,25,116276983
113,Carlos Lopez,Milan,Defensa,18,13,0,9,16733390
114,Miguel Ruiz,Milan,Portero,21,9,0,3,6339246
115,Miguel Silva,Arsenal,Mediocampista,18,12,8,10,122609548
116,Juan Ruiz,Chelsea,Delantero,19,8,40,8,184339247
117,Andres Diaz,Arsenal,Mediocampista,25,6,3,2,65143423
118,Luis Hernandez,Bayern Munich,Portero,18,6,0,2,53013082
119,Javier Flores,Liverpool,Mediocampista,32,7,9,24,48663358
120,Ricardo Ramirez,Barcelona,Delantero,37,27,22,15,58276814
121,Diego Silva,Arsenal,Defensa,27,10,8,8,127639812
122,Javier Diaz,Manchester City,Portero,37,36,0,3,149318586
